source,id_str,text,is_retweet,retweet_count,favorite_count
Twitter for iPhone,9.44E+17,"We are delivering HISTORIC TAX RELIEF for the American people!
#TaxCutsandJobsAct https://t.co/lLgATrCh5o",FALSE,20933,83357
Twitter for iPhone,9.44E+17,"Together, we are MAKING AMERICA GREAT AGAIN! https://t.co/47k9i4p3J2",FALSE,15625,68588
Twitter for iPhone,9.44E+17,I would like to congratulate @SenateMajLdr on having done a fantastic job both strategically &amp; politically on the passing in the Senate of the MASSIVE TAX CUT &amp; Reform Bill. I could have not asked for a better or more talented partner. Our team will go onto many more VICTORIES!,FALSE,18100,88704
Twitter for iPhone,9.43E+17,"The Tax Cuts are so large and so meaningful, and yet the Fake News is working overtime to follow the lead of their friends, the defeated Dems, and only demean. This is truly a case where the results will speak for themselves, starting very soon. Jobs, Jobs, Jobs!",FALSE,18212,79155
Twitter for iPhone,9.43E+17,"The United States Senate just passed the biggest in history Tax Cut and Reform Bill. Terrible Individual Mandate (ObamaCare)Repealed. Goes to the House tomorrow morning for final vote. If approved, there will be a News Conference at The White House at approximately 1:00 P.M.",FALSE,32062,140937
Twitter for iPhone,9.43E+17,"Congratulations to Paul Ryan, Kevin McCarthy, Kevin Brady, Steve Scalise, Cathy McMorris Rodgers and all great House Republicans who voted in favor of cutting your taxes!",FALSE,24855,128188
Twitter for iPhone,9.43E+17,A  story in the @washingtonpost that I was close to “rescinding” the nomination of Justice Gorsuch prior to confirmation is FAKE NEWS. I never even wavered and am very proud of him and the job he is doing as a Justice of the U.S. Supreme Court. The unnamed sources don’t exist!,FALSE,25350,97388
Twitter for iPhone,9.43E+17,"Stocks and the economy have a long way to go after the Tax Cut Bill is totally understood and appreciated in scope and size. Immediate expensing will have a big impact. Biggest Tax Cuts and Reform EVER passed. Enjoy, and create many beautiful JOBS!",FALSE,14541,69898
Twitter for iPhone,9.43E+17,DOW RISES 5000 POINTS ON THE YEAR FOR THE FIRST TIME EVER - MAKE AMERICA GREAT AGAIN!,FALSE,24588,114285
Media Studio,9.43E+17,"Together, our task is to strengthen our families, to build up our communities, to serve our citizens, and to celebrate AMERICAN GREATNESS as a shining example to the world.... https://t.co/ds6tZlgJpA",FALSE,16843,66927
Media Studio,9.43E+17,"With the strategy that I announced today, we are declaring that AMERICA is in the game and AMERICA is DETERMINED to WIN!

OUR FOUR PILLARS OF NATIONAL SECURITY STRATEGY: https://t.co/B3POaMVID8",FALSE,15917,61370
Twitter for iPhone,9.43E+17,70 Record Closes for the Dow so far this year! We have NEVER had 70 Dow Records in a one year period. Wow!,FALSE,21796,98285
Twitter for iPhone,9.43E+17,Thank you Maria B! https://t.co/v1UR63CqLK,FALSE,8803,40224
Twitter for iPhone,9.43E+17,So true Ivanka! https://t.co/BNGUJG69Ki,FALSE,8878,44123
Twitter for iPhone,9.43E+17,"As the world watches, we are days away from passing HISTORIC TAX CUTS for American families and businesses. It will be the BIGGEST TAX CUT and TAX REFORM in the HISTORY of our country! https://t.co/EvcAkjuf8w",FALSE,10165,48643
Twitter for iPhone,9.43E+17,"When the American People speak, ALL OF US should listen. Just over one year ago, you spoke loud and clear. On November 8, 2016, you voted to MAKE AMERICA GREAT AGAIN! https://t.co/3AOv53S0PU",FALSE,10464,48706
Twitter for iPhone,9.43E+17,"Over the past 11 months, I have travelled tens of thousands of miles, to visit 13 countries. I have met with more than 100 world leaders and everywhere I traveled, it was my highest privilege and greatest honor to represent the AMERICAN PEOPLE! https://t.co/7SDsEeIhJH",FALSE,13160,64290
Twitter for iPhone,9.43E+17,Our deepest sympathies and most heartfelt prayers are with the victims of the train derailment in Washington State. We are closely monitoring the situation and coordinating with local authorities... https://t.co/Gyf5BdVm4G,FALSE,8892,42983
Twitter for iPhone,9.43E+17,"My thoughts and prayers are with everyone involved in the train accident in DuPont, Washington. Thank you to all of our wonderful First Responders who are on the scene. We are currently monitoring here at the White House.",FALSE,15241,83134
Twitter for iPhone,9.43E+17,"The train accident that just occurred in DuPont, WA shows more than ever why our soon to be submitted infrastructure plan must be approved quickly. Seven trillion dollars spent in the Middle East while our roads, bridges, tunnels, railways (and more) crumble! Not for long!",FALSE,23417,106936
Twitter for iPhone,9.43E+17,Ivanka Trump will be interviewed on @foxandfriends.,FALSE,6350,44244
Twitter for iPhone,9.43E+17,"Remember, Republicans are 5-0 in Congressional Races this year. The media refuses to mention this. I said Gillespie and Moore would lose (for very different reasons), and they did. I also predicted  “I” would win. Republicans will do well in 2018, very well! @foxandfriends",FALSE,19207,88208
Twitter for iPhone,9.43E+17,"More than a century after conquering flight, the #WrightBrothers continue to motivate &amp; inspire Americans, who never tire of exploration &amp; innovation. This GREAT AMERICAN SPIRIT can be found in the design of every new supersonic jet and next generation: https://t.co/NeKPMgkdg8 https://t.co/pODjl00lAy",FALSE,13230,61029
Twitter for iPhone,9.43E+17,Wonderful weekend at Camp David. A very special place. A lot of very important work done. Heading back to the @WhiteHouse now. https://t.co/cKxlsdr1ut,FALSE,11081,63898
Twitter for iPhone,9.42E+17,"As a candidate, I promised we would pass a massive TAX CUT for the everyday working American families who are the backbone and the heartbeat of our country. Now, we are just days away... https://t.co/MADTGUMktX",FALSE,18452,85511
Media Studio,9.42E+17,WEEKLY ADDRESS🇺🇸 https://t.co/1sH20Hb33x,FALSE,13171,52608
Twitter for iPhone,9.42E+17,"TAX CUTS will increase investment in the American economy and in U.S. workers, leading to higher growth, higher wages, and more JOBS! https://t.co/4GxM8psMU1",FALSE,15385,70108
Twitter for iPhone,9.42E+17,"Congratulations to two great and hardworking guys, Corey Lewandowski and David Bossie, on the success of their just out book, “Let Trump Be Trump.” Finally people with real knowledge are writing about our wonderful and exciting campaign!",FALSE,22536,110560
Twitter for iPhone,9.42E+17,"Great job Kevin, we are all proud of you! https://t.co/K6hEEaOxKt",FALSE,13977,65484
Twitter for iPhone,9.42E+17,"DOW, S&amp;P 500 and NASDAQ close at record highs! #MAGA https://t.co/hvqwnqSGuG",FALSE,13049,57542
Twitter for iPhone,9.42E+17,"Today, it was my tremendous honor to visit Marine Helicopter Squadron One (HMX-1) at the Marine Corps Air Facility in Quantico, Virginia. 

I am honored to serve as your Commander-in-Chief. On behalf of an entire Nation, THANK YOU for your sacrifice and service. We love you! https://t.co/eLOTc7do52",FALSE,18380,78203
Twitter for iPhone,9.42E+17,"You are always there for us – THE MEN AND WOMEN IN BLUE.

Thank you to our police, thank you to our sheriffs, and thank you to our law enforcement families. God Bless you all, and GOD BLESS AMERICA! #LESM https://t.co/9ejiddVL9h",FALSE,17043,72595
Twitter for iPhone,9.42E+17,"To each member of the graduating class from the National Academy at Quantico, CONGRATULATIONS! https://t.co/bGT8S33ZLU",FALSE,10079,52942
Twitter for iPhone,9.42E+17,It was my honor. THANK YOU! https://t.co/1LvqbRQ1bi,FALSE,14133,69299
Twitter for iPhone,9.41E+17,“Manufacturing Optimism Rose to Another All-Time High in the Latest @ShopFloorNAM Outlook Survey” https://t.co/LuV4BMp0Xc,FALSE,9007,38758
Twitter for iPhone,9.41E+17,"In 1960, there were approximately 20,000 pages in the Code of Federal Regulations. Today there are over 185,000 pages, as seen in the Roosevelt Room.

Today, we CUT THE RED TAPE! It is time to SET FREE OUR DREAMS and MAKE AMERICA GREAT AGAIN! https://t.co/teAVNzjvcx",FALSE,26104,88904
Twitter for iPhone,9.41E+17,"When Americans are free to thrive, innovate, &amp; prosper, there is no challenge too great, no task too large, &amp; no goal beyond our reach. 

We are a nation of explorers, pioneers, innovators &amp; inventors. We are nation of people who work hard, dream big, &amp; who never, ever give up... https://t.co/9LVdp6zOgZ",FALSE,16849,69650
Twitter for iPhone,9.41E+17,"Today, we gathered in the Roosevelt Room for one single reason: to CUT THE RED TAPE! For many decades, an ever-growing maze of regs, rules, and restrictions has cost our country trillions of dollars, millions of jobs, countless American factories, &amp; devastated entire industries. https://t.co/ostXOVnckf",FALSE,12854,57441
Twitter for iPhone,9.41E+17,"As a candidate, I promised we would pass a massive tax cut for the everyday, working Americans. If you make your voices heard, this moment will be forever remembered as a great new beginning – the dawn of a brilliant American future shining with PATRIOTISM, PROSPERITY AND PRIDE! https://t.co/exsBzrlCdw",FALSE,18400,77121
Twitter for iPhone,9.41E+17,"Republican Tax Cuts are looking very good. All are working hard. In the meantime, the Stock Market hit another record high!",FALSE,17274,92795
Twitter for iPhone,9.41E+17,Thank you Omarosa for your service! I wish you continued success.,FALSE,13915,86535
Twitter for iPhone,9.41E+17,"If last night’s election proved anything, it proved that we need to put up GREAT Republican candidates to increase the razor thin margins in both the House and Senate.",FALSE,20081,101999
Twitter for iPhone,9.41E+17,"Wow, more than 90% of Fake News Media coverage of me is negative, with numerous forced retractions of untrue stories. Hence my use of Social Media, the only way to get the truth out. Much of Mainstream Meadia has become a joke! @foxandfriends",FALSE,29405,120149
Twitter for iPhone,9.41E+17,"The reason I originally endorsed Luther Strange (and his numbers went up mightily), is that I said Roy Moore will not be able to win the General Election.  I was right! Roy worked hard but the deck was stacked against him!",FALSE,15235,75633
Twitter for iPhone,9.41E+17,"Congratulations to Doug Jones on a hard fought victory. The write-in votes played a very big factor, but a win is a win. The people of Alabama are great, and the Republicans will have another shot at this seat in a very short period of time. It never ends!",FALSE,24939,123062
Twitter for iPhone,9.41E+17,Wishing all of those celebrating #Hanukkah around the world a happy and healthy eight nights in the company of those they love. https://t.co/A5W0PDWBxp https://t.co/D9MVVPq39x,FALSE,17237,76040
Twitter for iPhone,9.41E+17,"Consumer Confidence is at an All-Time High, along with a Record High Stock Market. Unemployment is at a 17 year low. MAKE AMERICA GREAT AGAIN! Working to pass MASSIVE TAX CUTS (looking good).",FALSE,20179,92234
Twitter for iPhone,9.41E+17,"The people of Alabama will do the right thing. Doug Jones is Pro-Abortion, weak on Crime, Military and Illegal Immigration, Bad for Gun Owners and Veterans and against the WALL. Jones is a Pelosi/Schumer Puppet. Roy Moore will always vote with us. VOTE ROY MOORE!",FALSE,21590,81386
Twitter for iPhone,9.41E+17,"Lightweight Senator Kirsten Gillibrand, a total flunky for Chuck Schumer and someone who would come to my office “begging” for campaign contributions not so long ago (and would do anything for them), is now in the ring fighting against Trump. Very disloyal to Bill &amp; Crooked-USED!",FALSE,23666,88993
Twitter for iPhone,9.41E+17,"Despite thousands of hours wasted and many millions of dollars spent, the Democrats have been unable to show any collusion with Russia - so now they are moving on to the false accusations and fabricated stories of women who I don’t know and/or have never met. FAKE NEWS!",FALSE,38156,147886
Twitter for iPhone,9.40E+17,"Another false story, this time in the Failing @nytimes, that I watch 4-8 hours of television a day - Wrong!  Also, I seldom, if ever, watch CNN or MSNBC, both of which I consider Fake News. I never watch Don Lemon, who I once called the “dumbest man on television!” Bad Reporting.",FALSE,34018,138768
Twitter for iPhone,9.40E+17,"Very little discussion of all the purposely false and defamatory stories put out this week by the Fake News Media. They are out of control - correct reporting means nothing to them. Major lies written, then forced to be withdrawn after they are exposed...a stain on America!",FALSE,30872,120303
Twitter for iPhone,9.40E+17,"Getting closer and closer on the Tax Cut Bill. Shaping up even better than projected. House and Senate working very hard and smart. End result will be not only important, but SPECIAL!",FALSE,18268,95820
Twitter for iPhone,9.40E+17,"Things are going really well for our economy, a subject the Fake News spends as little time as possible discussing! Stock Market hit another RECORD HIGH, unemployment is now at a 17 year low and companies are coming back into the USA. Really good news, and much more to come!",FALSE,28859,127436
Media Studio,9.40E+17,No American should be separated from their loved ones because of preventable crime committed by those illegally in our country. Our cities should be Sanctuaries for Americans – not for criminal aliens! https://t.co/CvtkCG1pln,FALSE,35354,125611
Twitter for iPhone,9.40E+17,Great Army - Navy Game. Army wins 14 to 13 and brings home the COMMANDER-IN-CHIEF’S TROPHY! Congratulations!,FALSE,15390,93901
Twitter for iPhone,9.40E+17,Great Army - Navy Game. Army wins 14 to 13 and brings home the COMMANDER-IN-CHIEF’S TROPHY (last time was 1996). Wow! Congratulations!,FALSE,1657,7867
Twitter for iPhone,9.40E+17,".@daveweigel of the Washington Post just admitted that his picture was a FAKE (fraud?) showing an almost empty arena last night for my speech in Pensacola when, in fact, he knew the arena was packed (as shown also on T.V.). FAKE NEWS, he should be fired.",FALSE,24272,89981
Twitter for iPhone,9.40E+17,".@DaveWeigel @WashingtonPost put out a phony photo of an empty arena hours before I arrived @ the venue, w/ thousands of people outside, on their way in. Real photos now shown as I spoke. Packed house, many people unable to get in. Demand apology &amp; retraction from FAKE NEWS WaPo! https://t.co/XAblFGh1ob",FALSE,24536,77219
Twitter for iPhone,9.40E+17,"Have a great game today, @USArmy and @USNavy - I will be watching. 

We love our U.S. Military. On behalf of an entire Nation, THANK YOU for your sacrifice and service! 
#ArmyNavyGame #USA🇺🇸 https://t.co/8m1W9rFwIh",FALSE,10992,53589
